"Word","CEFR"
"karaktär","A1"
"skiva","A1"
"omkring","A1"
"ansikte","A1"
"i början","A1"
"aktivitet","A1"
"ost","A1"
"fängelse","A1"
"motsvarande","A1"
"synas","A1"
"mor (el. moder, vardagl. morsa) ","A1"
"an","A1"
"samman","A1"
"ända","A1"
"ledamot","A1"
"i enlighet med","A1"
"civil","A1"
"uppenbar","A1"
"skull","A1"
"arbetslöshet","A1"
"fysisk","A1"
"generation","A1"
"återigen","A1"
"djup","A1"
"initiativ","A1"
"fastställa","A1"
"parlament","A1"
"säsong","A1"
"levande","A1"
"tacka","A1"
"hota","A1"
"tusentals","A1"
"eventuell","A1"
"pojke","A1"
"version","A1"
"existera","A1"
"trött","A1"
"himmel","A1"
"reaktion","A1"
"dyr","A1"
"normal","A2"
"rikta","A2"
"kurs","A2"
"påstående","A2"
"märklig","A2"
"öst","A2"
"affär","A2"
"tidigt","A2"
"upplevelse","A2"
"riktning","A2"
"vetenskap","A2"
"avsnitt","A2"
"handel","A2"
"sträckning","A2"
"locka","A2"
"redovisa","A2"
"uttalande","A2"
"respektive","A2"
"para","A2"
"störa","A2"
"ihåg","A2"
"någonstans (vardagl. nånstans)","A2"
"respekt","A2"
"rapportera","A2"
"knappt","A2"
"direkt","A2"
"enkelt","A2"
"omständighet","A2"
"hänsyn","A2"
"ikväll (el. i kväll)","A2"
"begära","A2"
"rubrik","A2"
"producera","A2"
"utsträckning","A2"
"anonym","A2"
"begå","A2"
"bar","A2"
"institution","A2"
"förstöra","A2"
"boll","A2"
"grunda","A2"
"förbi","A2"
"luft","A2"
"industri","A2"
"tåg","A2"
"skada","A2"
"nordisk","A2"
"uppfylla","A2"
"akta","A2"
"förhandling","A2"
"syfta","A2"
"bror (el. broder, vardagl. brorsa)","A2"
"byggnad","A2"
"hälft","A2"
"skrift","A2"
"ansvarig","A2"
"allmänhet","A2"
"orsaka","A2"
"i slutet","A2"
"israelisk","A2"
"drygt","A2"
"lever","A2"
"bloggare","A2"
"tävling","A2"
"kommunikation","A2"
"kritisk","A2"
"plocka","A2"
"patient","A2"
"sjunga","A2"
"vakna","A2"
"hälsa","A2"
"piratparti","A2"
"centrum","A2"
"otroligt","A2"
"roligt","A2"
"mörk","A2"
"träna","A2"
"bord","A2"
"förrän","A2"
"dansk","A2"
"vidta","A2"
"reda","A2"
"mana","A2"
"väljare","A2"
"uppmana","A2"
"publik","A2"
"lida","A2"
"motstånd","A2"
"lägenhet","A2"
"vänsterparti","A2"
"rädd","A2"
"användare","A2"
"inre","A2"
"avslöja","A2"
"fiende","A2"
"lopp","A2"
"återvända","A2"
"utmaning","A2"
"hopp","A2"
"konkurrens","A2"
"dröm","A2"
"detalj","A2"
"nedan","A2"
"placera","A2"
"litteratur","A2"
"ana","A2"
"inställning","A2"
"armé","A2"
"lös","A2"
"pröva","A2"
"egenskap","A2"
"rekommendera","A2"
"liberal","A2"
